aggCode,aggName,aggAccOverflowNumber,aggAccOverflows,aggBeginLife,aggBeginLife_original,aggBestTechnicalKnowledge,aggCalculation,aggCapacity,aggChanges,aggChangesComment,aggDilutionRates,aggEndLife,aggEndLife_original,aggExistMaintenancePlan,aggExplanationOther,aggForecast,aggForecast_original,aggGenerated,aggHaveRegistrationSystem,aggLatitude,aggLongitude,aggC1,aggMethodC1,aggC2,aggMethodC2,aggNUTS,aggOtherMeasures,aggPercPrimTreatment,aggPercSecTreatment,aggPercStringentTreatment,aggMethodWithoutTreatment,aggPercWithoutTreatment,aggPeriodOver,aggPressureTest,aggRemarks,aggSewageNetwork,aggSewerOverflows_m3,aggSewerOverflows_pe,aggState,aggVideoInspections,bigCityID,rptMStateKey,aggDateArt3,aggDateArt4,aggDateArt5,countryCode,snapshotId
FR060000113030,CUGES-LES-PINS,,false,2006-01-01,2006-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,3524,,43.2865844327449,5.71539702551507,100.0,C,0.0,E,FRL04,false,,,,E,0.0,2005-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2005-12-31,2005-12-31,,FR,72204
FR060000183016,BEAUSSET-INTERCOMMUNALE,,false,1995-01-01,1995-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,18968,,43.2097957302225,5.82238835380772,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2000-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2000-12-31,2000-12-31,,FR,72204
FR060000183047,CRAU,,false,2006-01-01,2006-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,44569,,43.1487060425236,6.08324937125784,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2017-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2000-12-31,2000-12-31,2017-12-31,FR,72204
FR060000183049,CUERS,,false,2006-01-01,2006-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,9278,,43.2486975961515,6.06249203805663,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2005-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2005-12-31,2005-12-31,,FR,72204
FR060000183069,HYERESLES PALMIERS,,false,2006-01-01,2006-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,59111,,43.1272912651059,6.14120482780581,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2000-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2000-12-31,2000-12-31,,FR,72204
FR060000183091,PIERREFEU-DU-VAR,,false,1974-01-01,1974-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,4648,,43.2389484497485,6.17563522918195,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2005-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2005-12-31,2005-12-31,,FR,72204
FR060000183100,PUGET-VILLE,,false,1973-01-01,1973-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,3675,,43.2690731918593,6.15070163563823,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2005-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2005-12-31,2005-12-31,,FR,72204
FR060000183106,ROCBARONFORCALQUEIRET,,false,1994-01-01,1994-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,7175,,43.309223139809,6.0869958412222,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2005-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2005-12-31,2005-12-31,,FR,72204
FR060000183108,ROQUEBRUSSANNE,,false,2005-01-01,2005-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,2271,,43.3418858589914,5.9857829060357,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2005-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2005-12-31,2005-12-31,,FR,72204
FR060000183112,SAINT-CYR-SUR-MER,,false,2006-01-01,2006-01-01,,"Charge moyenne maximale hebdomadaire qui pénètre dans la station d'épuration au cours de l'année, à l'exclusion des situations inhabituelles comme celles qui sont dues à de fortes précipitations + rejets directs sans traitement par déversoirs d'orage",false,false,,false,,,,,,,17192,,43.1745276387106,5.7099185656949,100.0,C,0.0,E,FRL05,false,,,,E,0.0,2000-12-31T00:00:00.000000,false,,,,,1,false,,FR2022                                            ,2000-12-31,2000-12-31,,FR,72204
