uwwState,rptMStateKey,aggCode,uwwCode,uwwName,uwwCollectingSystem,uwwDateClosing,uwwDateClosing_original,uwwHistorie,uwwLatitude,uwwLongitude,uwwNUTS,uwwLoadEnteringUWWTP,uwwCapacity,uwwPrimaryTreatment,uwwSecondaryTreatment,uwwOtherTreatment,uwwNRemoval,uwwPRemoval,uwwUV,uwwChlorination,uwwOzonation,uwwSandFiltration,uwwMicroFiltration,uwwOther,uwwSpecification,uwwBOD5Perf,uwwCODPerf,uwwTSSPerf,uwwNTotPerf,uwwPTotPerf,uwwOtherPerf,uwwBadPerformance,uwwAccidents,uwwBadDesign,uwwInformation,uwwBODIncomingMeasured,uwwBODIncomingCalculated,uwwBODIncomingEstimated,uwwCODIncomingMeasured,uwwCODIncomingCalculated,uwwCODIncomingEstimated,uwwNIncomingMeasured,uwwNIncomingCalculated,uwwNIncomingEstimated,uwwPIncomingMeasured,uwwPIncomingCalculated,uwwPIncomingEstimated,uwwBODDischargeMeasured,uwwBODDischargeCalculated,uwwBODDischargeEstimated,uwwCODDischargeMeasured,uwwCODDischargeCalculated,uwwCODDischargeEstimated,uwwNDischargeMeasured,uwwNDischargeCalculated,uwwNDischargeEstimated,uwwPDischargeMeasured,uwwPDischargeCalculated,uwwPDischargeEstimated,uwwWasteWaterTreated,uwwMethodWasteWaterTreated,uwwWasteWaterReuse,uwwBeginLife,uwwBeginLife_original,uwwEndLife,uwwEndLife_orginal,uwwInspireIDFacility,uwwRemarks,repCode,countryCode,snapshotId
1,FR,FR060000113030,FR060913030002,CUGES-LES-PINS,ISCON,,,,43.268968912617,5.703571341087,FRL04,3524,3000,true,true,false,false,false,false,false,false,false,false,false,,F,F,,NR,NR,,true,false,false,Mauvaises performances,,,,,,,,,,,,,,,,,,,,,,,,,301.0,,0.0,2006-01-01,2006-01-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183016,FR060983035001,LE CASTELLET-LE  BEAUSSET-LA CADIÈRE,ISCON,,,,43.167277395302,5.773250977183,FRL05,18968,27000,true,true,true,true,true,true,false,false,false,false,true,,P,P,,NR,NR,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,,0.0,1995-06-01,1995-06-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183047,FR060983047002,LA CRAU VALLEE DU GAPEAU,ISCON,,,,43.14478043321,6.091714105629,FRL05,44569,80600,true,true,true,true,true,true,false,false,false,false,true,,P,P,,P,P,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,7105.0,,0.0,2008-11-12,2008-11-12,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183049,FR060983049002,CUERS VILLAGE,ISCON,,,,43.234082944526,6.083989973075,FRL05,9278,17500,true,true,true,true,true,false,false,false,false,false,true,,P,P,,NR,P,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,1373.0,,0.0,2006-01-01,2006-01-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183069,FR060983069001,ALMANARRE,ISCON,,,,43.082128781946,6.134783308289,FRL05,59111,121667,true,true,false,false,false,false,false,false,false,false,false,,P,P,,NR,NR,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,13213.0,,0.0,2006-01-01,2006-01-01,,,FR.CAED/15403.FACILITY,,FR2022                                            ,FR,72204
1,FR,FR060000183091,FR060983091001,PIERREFEU VILLAGE,ISCON,,,,43.220240034484,6.140721611569,FRL05,4648,9000,true,true,true,false,true,false,false,false,false,false,true,,P,P,,NR,P,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,859.0,,0.0,1974-01-01,1974-01-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183100,FR060983100003,PUGET-VILLE NOUVELLE,ISCON,,,,43.277012621104,6.147411746269,FRL05,3675,4200,true,true,true,true,true,false,false,false,false,false,true,,P,P,,P,P,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,437.0,,0.0,2007-07-31,2007-07-31,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183106,FR060983106002,ROCBARON NLLE,ISCON,,,,43.323400152899,6.079090830203,FRL05,7175,9400,true,true,true,true,true,true,false,false,false,false,true,,P,P,,P,P,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,755.0,,0.0,2015-06-15,2015-06-15,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183108,FR060983108002,LA ROQUEBRUSSANNE NOUVELLE,ISCON,,,,43.33137218816,5.989428846798,FRL05,2271,2500,true,true,true,true,false,false,false,false,false,false,true,,F,P,,NR,NR,,true,false,false,Mauvaises performances,,,,,,,,,,,,,,,,,,,,,,,,,217.0,,0.0,2005-04-01,2005-04-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183112,FR060983112001,SAINT-CYR-SUR-MER POINTE GRENIER,ISCON,,,,43.161110242283,5.686956155923,FRL05,17192,35000,true,true,false,false,false,false,false,false,false,false,false,,P,P,,NR,NR,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,,0.0,2006-01-01,2006-01-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183123,FR060983123001,LA CRIDE,ISCON,,,,43.116664050629,5.768931652501,FRL05,45698,60000,true,true,false,false,false,false,false,false,false,false,false,,P,P,,NR,NR,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,5876.0,,0.0,2006-01-01,2006-01-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183127,FR060983127001,SIGNES VILLAGE,ISCON,,,,43.28765403056,5.862250072396,FRL05,1683,3000,true,true,true,true,false,false,false,false,false,false,true,,P,P,,NR,NR,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,,0.0,2009-07-01,2009-07-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000183137,FR060983126001,CAP SICIÉ - AMPHITRIA,ISCON,,,,43.049543752639,5.85134868382,FRL05,305512,500000,true,true,false,false,false,false,false,false,false,false,false,,P,P,,NR,NR,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,52270.0,,0.0,1997-07-31,1997-07-31,,,FR.CAED/15401.FACILITY,,FR2022                                            ,FR,72204
1,FR,FR060000283069,FR060983069002,HYERES PORQUEROLLES,ISCON,,,,42.988863229551,6.201031069177,FRL05,2813,4333,true,true,true,false,true,false,false,false,false,false,true,,P,P,,NR,NR,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,1.0,2006-01-01,2006-01-01,,,,,FR2022                                            ,FR,72204
1,FR,FR060000283137,FR060983062001,LA GARDE PONT DE LA CLUE,ISCON,,,,43.111383065069,6.000120999769,FRL05,64193,106500,true,true,false,false,false,false,false,false,false,false,false,,P,P,,NR,NR,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,13302.0,,0.0,2006-01-01,2006-01-01,,,FR.CAED/15402.FACILITY,,FR2022                                            ,FR,72204
