rptMStateKey,aucUwwCode,aucUwwName,aucAggCode,aucAggName,aucPercEnteringUWWTP,aucMethodPercEnteringUWWTP,aucPercC2T,countryCode,snapshotId
FR,FR060913030002,Cuges-les-Pins,FR060000113030,Cuges-les-Pins,100.0,C,,FR,72204
FR,FR060983035001,LE CASTELLET-LE  BEAUSSET-LA CADIÈRE,FR060000183016,BEAUSSET-INTERCOMMUNALE,100.0,C,,FR,72204
FR,FR060983047002,LA CRAU VALLEE DU GAPEAU,FR060000183047,CRAU,100.0,C,,FR,72204
FR,FR060983049002,CUERS VILLAGE,FR060000183049,CUERS,100.0,C,,FR,72204
FR,FR060983069001,ALMANARRE,FR060000183069,HYERESLES PALMIERS,100.0,C,,FR,72204
FR,FR060983091001,PIERREFEU VILLAGE,FR060000183091,PIERREFEU-DU-VAR,100.0,C,,FR,72204
FR,FR060983100003,PUGET-VILLE NOUVELLE,FR060000183100,PUGET-VILLE,100.0,C,,FR,72204
FR,FR060983106002,ROCBARON NLLE,FR060000183106,ROCBARONFORCALQUEIRET,100.0,C,,FR,72204
FR,FR060983108002,LA ROQUEBRUSSANNE NOUVELLE,FR060000183108,ROQUEBRUSSANNE,100.0,C,,FR,72204
FR,FR060983112001, SAINT-CYR-SUR-MER POINTE GRENIER,FR060000183112,SAINT-CYR-SUR-MER,100.0,C,,FR,72204
FR,FR060983123001,LA CRIDE,FR060000183123,SANARY-SUR-MER,100.0,C,,FR,72204
FR,FR060983127001,SIGNES VILLAGE,FR060000183127,SIGNES,100.0,C,,FR,72204
FR,FR060983126001,CAP SICIÉ - AMPHITRIA,FR060000183137,TOULONLA SEYNE-SUR-MER,100.0,C,,FR,72204
FR,FR060983069002,HYERES PORQUEROLLES,FR060000283069,HYERESPORQUEROLLES,100.0,C,,FR,72204
FR,FR060983062001,LA GARDE PONT DE LA CLUE,FR060000283137,GARDETOULON,100.0,C,,FR,72204
